ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Pérdida de desnivel,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,"<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,"<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Multimedia
1951865473,7 nov. 2018 19:13:43,Atletismo al anochecer,Carrera,,3743,"11,11",,,false,,,activities/1951865473.gpx,0.0,,3743.0,3702.0,11110.7001953125,38.29999923706055,,125.0374526977539,99.53700256347656,-3.9000000953674316,27.399999618530273,42.70000076293945,0.22950848937034607,,,,,,,,,1000.259765625,,,,,,,,,,,,,,,,0.0,,,11629.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
1959449810,11 nov. 2018 19:16:41,Atletismo al anochecer,Carrera,,1821,"5,91",,,false,,,activities/1959449810.gpx,0.0,,1821.0,1784.0,5917.10009765625,11.199999809265137,,32.95210266113281,32.85210037231445,-1.7000000476837158,14.600000381469727,15.600000381469727,0.0016900170594453812,,,,,,,,,515.486572265625,,,,,,,,,,,,,,,,0.0,,,5993.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
1972214991,18 nov. 2018 15:07:01,Ciclismo por la tarde,Bicicleta,,3521,"25,85",,,false,,,activities/1972214991.gpx,0.0,,3521.0,3521.0,25858.400390625,11.600000381469727,,133.75616455078125,132.55599975585938,222.1999969482422,302.8999938964844,5.699999809265137,0.004640658386051655,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2000291507,4 dic. 2018 19:47:47,Ciclismo al anochecer,Bicicleta,,389,"1,29",,,false,,,activities/2000291507.gpx,0.0,,389.0,364.0,1296.0,9.699999809265137,,27.515518188476562,11.315500259399414,4.699999809265137,24.399999618530273,37.099998474121094,1.25,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2023158227,18 dic. 2018 11:11:37,Ciclismo a la hora del almuerzo,Bicicleta,"",3319,"24,02",,,false,,,activities/2023158227.gpx,0.0,,3319.0,3319.0,24023.80078125,11.800000190734863,,109.98186492919922,109.08200073242188,222.1999969482422,302.8999938964844,4.599999904632568,0.003746284870430827,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2080100597,15 ene. 2019 11:37:32,Entrenamiento a la hora del almuerzo,Carrera,"",1076,"4,18",,,false,,,activities/2222371778.fit.gz,0.0,,1076.0,1076.0,4184.7001953125,4.900000095367432,,38.0,56.0,99.19999694824219,137.39999389648438,43.900001525878906,-0.5496212244033813,,,,,,,,,121.0,,12.0,,,,,,,,,,,,,,0.0,,,4294.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2115306808,31 ene. 2019 11:01:02,Entrenamiento a la hora del almuerzo,Bicicleta,"",6877,"44,59",,,false,,,activities/2258728617.fit.gz,0.0,,6877.0,6744.0,44595.6015625,12.199999809265137,,290.0,282.0,301.20001220703125,401.20001220703125,16.799999237060547,0.018835939466953278,,,,,,,,,1238.0,,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2117396525,1 feb. 2019 16:22:36,Ciclismo por la tarde,Carrera,"",1307,"4,34",,,false,,,activities/2117396525.gpx,0.0,,1307.0,1307.0,4344.89990234375,5.099999904632568,,40.44500732421875,33.744998931884766,206.10000610351562,227.8000030517578,8.899999618530273,0.15420377254486084,,,,,,,,,381.1512756347656,,,,,,,,,,,,,,,,0.0,,,4431.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2126452949,5 feb. 2019 19:04:46,Atletismo al anochecer,Carrera,,1472,"4,62",,,false,,,activities/2126452949.gpx,0.0,,1472.0,1411.0,4625.89990234375,13.100000381469727,,45.314327239990234,51.91429901123047,221.6999969482422,244.8000030517578,12.199999809265137,-0.14267493784427643,,,,,,,,,406.17950439453125,,,,,,,,,,,,,,,,0.0,,,4722.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2142900154,13 feb. 2019 9:02:08,Atletismo por la mañana,Carrera,,1806,"5,67",,,false,,,activities/2142900154.gpx,0.0,,1806.0,1802.0,5672.2001953125,13.800000190734863,,83.10859680175781,87.50859832763672,215.39999389648438,250.0,17.899999618530273,-0.0775713101029396,,,,,,,,,507.2298278808594,,,,,,,,,,,,,,,,0.0,,,5897.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2182259930,28 feb. 2019 19:14:32,Atletismo al anochecer,Carrera,,1230,"4,01",,,false,,,activities/2182259930.gpx,0.0,,1230.0,1151.0,4014.5,9.600000381469727,,48.08650207519531,48.2864990234375,220.1999969482422,242.60000610351562,17.100000381469727,-0.004981940612196922,,,,,,,,,354.64373779296875,,,,,,,,,,,,,,,,0.0,,,4123.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2193496442,5 mar. 2019 19:10:21,Atletismo al anochecer,Carrera,,1848,"6,12",,,false,,,activities/2193496442.gpx,0.0,,1848.0,1848.0,6123.2998046875,11.100000381469727,,93.14146423339844,88.74150085449219,220.5,271.1000061035156,36.0,0.07185667753219604,,,,,,,,,554.4221801757812,,,,,,,,,,,,,,,,0.0,,,6446.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2227603569,20 mar. 2019 17:57:36,Atletismo al anochecer,Carrera,,2867,"9,12",,,false,,,activities/2227603569.gpx,0.0,,2867.0,2859.0,9120.7998046875,5.900000095367432,,81.48837280273438,76.4884033203125,219.10000610351562,242.60000610351562,27.799999237060547,0.054819751530885696,,,,,,,,,804.5753173828125,,,,,,,,,,,,,,,,0.0,,,9354.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2254413218,31 mar. 2019 9:10:27,Ciclismo a la hora del almuerzo,Bicicleta,,8365,"35,65",,,false,,,activities/2254413218.gpx,0.0,,8365.0,7945.0,35649.19921875,8.899999618530273,,219.62059020996094,214.12100219726562,222.1999969482422,382.79998779296875,26.5,0.015428116545081139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2318683905,25 abr. 2019 18:32:15,Atletismo al anochecer,Carrera,,956,"3,78",,,false,,,activities/2318683905.gpx,0.0,,956.0,947.0,3788.10009765625,15.100000381469727,,49.91963577270508,51.81959915161133,220.39999389648438,249.1999969482422,16.0,-0.05015707015991211,,,,,,,,,335.4210510253906,,,,,,,,,,,,,,,,0.0,,,3899.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2352220993,8 may. 2019 18:41:09,Atletismo al anochecer,Carrera,,243,"1,00",,,false,,,activities/2352220993.gpx,0.0,,,243.0,1007.5,9.600000381469727,,9.830769538879395,4.330770015716553,222.10000610351562,232.60000610351562,8.199999809265137,0.5459057092666626,,,,,,,,,89.52531433105469,,,,,,,,,,,,,,,,,,,1040.9000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2373149632,16 may. 2019 18:09:32,Atletismo al anochecer,Carrera,,3281,"10,01",,,false,,,activities/2373149632.gpx,0.0,,,3145.0,10016.400390625,9.300000190734863,,100.79295349121094,105.99299621582031,217.89999389648438,247.0,26.100000381469727,-0.05191485956311226,,,,,,,,,881.6123046875,,,,,,,,,,,,,,,,,,,10250.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
